TransDate;AccountType;AccountNum;AmountCurDebit;AmountCurCredit;Description;Currency;ExchangeRate;TaxGroup;Dimensions[1];Dimensions[2];Dimensions[3];Dimensions[4];Dimensions[5];Dimensions[6];Dimensions[7];OffSetAccountType;OffSetAccountNum;OffSetDimensions[1];OffSetDimensions[2];OffSetDimensions[3];OffSetDimensions[4];OffSetDimensions[5];OffSetDimensions[6];OffSetDimensions[7];PostingProfile;Invoice;Due;TaxItemGroup;TaxCode;DocumentNum;DocumentDate;TransType;BookId
Fecha;Tipo de cuenta;Numero de cuenta;Debito ;Credito;Descripcion;Divisa;Tipo de Cambio;Grupo de impuestos;Department;Group;Intercompany;Lease;Site;Tercero Peru;Terceros;Tipo de cuenta contrapartida;Contrapartida de cuenta;Department2;Group2;Intercompany2;Lease2;Site2;TerceroPeru2;Terceros2;Perfil de contabilizacion;Factura;Fecha de vencimiento;Grupo de impuestos de articulos;Codigo de impuestos;Documento;Fecha de documento;Tipo de transaccion;Modelo de valor
09/30/17;5:activos fijos ;PTSV-ARO-00000021;9569.34;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000022;9569.34;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000023;9569.34;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000024;9569.34;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000025;10188.27;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000026;9569.34;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000027;9569.34;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000028;10188.27;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000029;10188.27;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
09/30/17;5:activos fijos ;PTSV-ARO-00000030;10188.27;;Saldos Iniciales de activos fijos EL SALVADOR 09/30/2017 ADQUISICION USGAAP;USD;;;;;;;;;;0:LEDGER;999999;;;;;;;;;;;;;;;1:Acquisition;USGAAP
